Timestamp,Aula,Situazione,BSSID,SSID,Signal
2025-03-07 14:59:15,E3,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-60.0
2025-03-07 14:59:15,E3,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-63.0
2025-03-07 14:59:15,E3,Crowded,b0:aa:77:a8:42:51,ALMAWIFI,-75.0
2025-03-07 14:59:15,E3,Crowded,00:81:c4:93:d3:41,ALMAWIFI,-66.0
2025-03-07 14:59:15,E3,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-64.0
2025-03-07 14:59:15,E3,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-87.0
2025-03-07 14:59:15,E3,Crowded,00:81:c4:93:d3:4e,ALMAWIFI,-78.0
2025-03-07 14:59:15,E3,Crowded,8c:1e:80:46:19:4e,ALMAWIFI,-74.0
2025-03-07 14:59:15,E3,Crowded,00:a6:ca:56:76:fe,ALMAWIFI,-46.0
2025-03-07 14:59:15,E3,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-78.0
2025-03-07 14:59:15,E3,Crowded,60:b9:c0:9c:49:0d,ALMAWIFI,-91.0
2025-03-07 14:59:15,E3,Crowded,00:a6:ca:5f:8d:21,ALMAWIFI,-74.0
2025-03-07 14:59:15,E3,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-97.0
2025-03-07 14:59:15,E3,Crowded,b8:11:4b:07:8f:0e,ALMAWIFI,-93.0
2025-03-07 14:59:15,E3,Crowded,b0:aa:77:a8:42:5e,ALMAWIFI,-91.0
2025-03-07 14:59:18,E3,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-55.0
2025-03-07 14:59:18,E3,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-69.0
2025-03-07 14:59:18,E3,Crowded,b0:aa:77:a8:42:51,ALMAWIFI,-75.0
2025-03-07 14:59:18,E3,Crowded,00:81:c4:93:d3:41,ALMAWIFI,-66.0
2025-03-07 14:59:18,E3,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-64.0
